63.6,64.633,11
64.7,65.733,3
66.2,66.433,14
67.733,69.6,23
70.833,71.3,20
71.6,72.867,19
73.433,73.8,19
73.967,74.9,8
75.033,75.267,2
75.6,77.9,8
77.967,79.4,19
79.767,80.8,8
80.9,84.6,19
84.733,86.1,9
87.833,94.667,17
95.533,96.9,17
101.47,114.47,17
115.47,115.83,25
116.1,117.9,17
118.53,128.73,17
128.97,129.37,8
129.43,130.23,19
130.33,130.7,20
130.97,133.3,12
133.37,134.37,8
134.4,135.53,19
135.6,136.3,8
136.37,136.67,19
136.73,137.27,8
137.8,138.13,22
138.23,138.73,8
138.77,140.53,12
140.6,140.93,17
141.37,142.63,23
142.67,144.67,17
144.67,145.9,23
146,147.03,8
147.1,147.83,22
148.23,148.63,6
148.67,150.83,23
150.87,151.13,8
151.47,153.63,24
153.7,154.83,22
155.6,156.17,17
156.23,156.57,8
156.6,157.23,6
157.5,158.2,25
158.47,158.93,2
158.97,159.87,24
161.1,167.1,23
167.2,168.23,22
168.3,170.77,23
171,171.37,17
171.43,172.17,23
173.5,173.8,12
173.9,174.27,1
174.37,177.23,12
178.27,178.73,23
178.8,183.4,15
183.47,184.03,11
184.1,184.33,15
184.4,185.87,11
185.97,186.6,23
187.27,189.1,13
189.2,189.77,23
189.83,190.07,15
190.3,191.53,23
191.63,191.87,22
192.17,192.83,15
192.93,194.07,2
194.17,195.47,19
195.53,196.07,17
196.27,198.07,20
198.17,199.17,17
199.2,199.6,8
201.07,201.97,20
202.03,202.4,11
202.47,203.1,17
204.23,206.23,10
206.23,207.23,11
208.23,213.6,17
213.63,215.63,22
215.63,217.63,8
217.63,218.37,24
218.5,219.07,2
219.97,220.5,22
220.73,221.33,8
224.27,230.67,22
235.47,235.73,22
237.57,238.9,22
240.9,241.2,22
241.57,241.9,23
242.63,247.23,23
247.57,248.53,19
248.6,249.03,13
249.07,249.57,2
249.63,249.87,24
249.9,250.23,5
250.3,250.63,11
250.77,251.07,9
251.13,254.47,15
254.5,255,23
255.03,256.07,19
261.13,262.23,1
262.27,263.77,15
263.8,265.1,1
265.27,265.5,21
265.57,266.8,15
267.07,267.57,25
267.83,272.3,15
273,274.33,23
274.43,277.03,1
277.07,280.07,15
280.13,283.27,1
283.47,283.87,17
283.93,285.77,2
286.13,287.1,23
287.17,288.3,2
288.37,289,22
291.73,291.93,2
291.97,293.7,17
293.77,294.07,2
294.13,294.87,17
294.93,296.27,24
297.33,298.63,2
298.67,300.23,24
300.73,302.07,25
302.93,304.87,23
306.1,306.67,2
306.7,307.03,23
307.1,308.8,11
308.87,312.8,23
312.87,317.33,19
317.6,318.33,24
318.4,318.77,22
319.37,321.6,22
321.93,323.93,6
324.23,326.97,22
327.07,333.33,17
333.37,334.9,24
336.5,337.97,2
338.03,339.13,6
339.27,340,25
340.4,341.57,2
342.13,342.57,8
342.63,343.83,17
344.2,345.17,23
345.4,346.83,22
348.3,348.8,17
349.63,357.6,21
357.77,358.57,23
358.63,358.97,2
359.13,359.57,21
359.63,360.5,22
360.53,362.67,21
363.73,364.13,3
365.57,366.33,3
367.37,367.83,16
368.07,368.97,18
372.77,374.1,25
374.7,379.6,21
379.83,380.2,18
380.27,382.73,2
384.17,384.73,23
384.8,385.73,2
385.93,386.37,23
386.43,387.63,11
387.7,396.57,22
396.73,406.9,2
407,409,17
409.4,409.97,25
410.8,412,17
413.37,413.63,23
413.67,414.3,22
414.37,416.8,23
416.97,418.97,21
419.23,422.27,23
422.33,424.97,21
