31.533,53.767,20
54.9,56.667,25
59.867,61,6
61.167,61.9,10
61.967,67.133,6
67.167,70.133,10
70.167,75.3,6
75.3,75.867,10
75.9,76.6,24
76.633,77.867,10
79.867,81.6,18
81.667,82.267,15
84.067,85.7,18
85.833,91.4,10
91.433,95.433,6
95.433,97.267,10
97.4,98.433,2
98.467,99.133,9
100.6,102.6,6
102.6,102.8,10
103.57,104.9,2
105.8,110.17,23
110.37,113.67,15
113.73,115.2,23
115.23,119.4,15
119.4,119.77,23
119.8,120.77,15
123.57,131.67,15
131.73,133.73,23
133.73,135.63,15
136,136.4,10
136.47,138.47,15
138.53,138.9,10
138.97,140.2,15
143.43,145.87,13
146.03,146.3,14
147.17,150.73,20
150.8,151.73,13
151.8,152.97,23
153.03,154.13,20
154.3,155.47,3
155.53,155.77,13
155.87,179.2,20
179.33,181.83,15
183.27,185.77,15
185.9,186.63,2
186.7,188.03,9
188.2,191.8,14
191.9,192.3,10
197.97,201.97,14
202.4,203.17,3
211.3,213.03,18
213.9,227.03,18
227.1,228.2,23
229.1,229.37,13
229.43,232.5,15
232.63,234.63,9
234.63,236.3,15
236.33,237,21
237.07,239.5,12
240.13,240.97,17
241.53,244.1,21
244.1,244.7,18
244.73,249.4,21
249.5,250.57,13
250.63,251.07,21
251.13,251.47,13
251.5,252.17,21
252.2,252.8,18
252.87,253.5,21
253.9,254.4,15
254.97,260.8,21
260.9,262,23
262.07,263,11
263.03,263.33,15
263.4,264.17,22
264.23,265.07,18
265.13,267.2,22
267.33,268.07,24
268.23,269.97,22
270.07,272.47,24
272.53,273.7,3
273.77,274.5,10
278.1,280.1,8
280.47,284,24
287.8,289.8,17
289.8,290.1,8
291.5,293.5,14
293.5,293.7,22
294.63,296.3,22
296.33,296.6,17
300.97,309.8,24
312,313.1,17
314.87,315.13,17
315.8,318.43,17
319.63,322.17,22
322.27,323.73,14
323.8,325.8,22
326.5,327.3,22
329.5,330.33,24
331.33,333.5,22
334.47,336.47,17
336.47,340.47,22
342.4,342.63,21
342.67,344.13,13
345.13,345.37,21
346.3,348.8,17
348.83,349.77,24
349.93,350.8,8
350.9,351.2,22
352,354.43,24
354.8,355.5,22
355.53,357.53,17
358.13,358.93,24
359,362.03,17
362.43,362.83,13
363.5,363.83,2
367.43,368.8,25
372.27,372.93,13
372.97,374.67,9
375.5,376.3,9
376.7,381.63,2
381.67,382.4,18
383.63,389.43,2
389.43,391.43,9
392.37,392.93,3
393,393.47,14
395.53,395.77,5
396.4,398.4,5
398.4,398.6,21
398.63,399.03,14
399.3,401.07,5
401.1,401.9,2
402.07,406.9,5
407.23,407.97,2
408.33,409.3,5
411.27,411.93,21
411.97,412.27,14
413.87,414.13,14
415.43,415.83,25
416.53,418.53,2
422.53,426.4,2
426.77,432.07,3
432.1,433.43,14
434.63,436.5,4
436.73,438.77,22
441.77,444.47,10
444.53,446.9,23
447.23,448.23,3
448.3,450.73,4
451.23,451.47,3
451.77,452.83,13
453.07,454.03,2
455,455.67,14
462.27,462.73,21
462.83,463.9,14
464.3,465.3,20
466.17,467.67,16
468.07,473.87,25
474.13,477.63,16
477.67,478.2,4
478.27,479.17,16
491.67,493.53,9
499.17,502.93,8
503.17,503.97,16
504.1,520.73,8
521.93,522.3,16
522.37,523.43,15
523.47,524.07,23
524.2,535.23,15
538.47,539.57,15
540.37,546.8,1
546.9,547.77,15
547.8,554.33,1
555.67,556.33,15
560.27,563.27,1
565.4,571.47,1
571.67,572.13,4
572.2,572.93,23
573.13,575.13,15
575.2,575.57,4
575.63,576.23,23
576.3,576.8,24
