37.84,38.63,4
43.04,46.93,4
48.94,53.26,4
54.3,57.33,4
62.64,75.06,4
77.34,83.63,4
85.14,86.49,4
92.74,95.52,4
111.17,113.39,4
114.3,115.86,4
116.8,117.43,2
117.6,118.96,4
125.94,131.89,4
133.84,135.36,4
137.24,138.86,4
142.97,143.59,1
144.84,147.93,4
150.9,156.99,4
158.54,159.69,3
161.54,162.13,3
164.1,165.86,3
166.4,168.09,4
188.87,190.06,4
193.3,194.43,4
195.9,200.16,4
201.3,203.96,4
205.2,207.63,4
209.8,211.33,1
215.4,221.69,4
224.44,227.43,4
235.2,244.56,4
245.74,251.25,4
278.97,281.69,4
287.44,289.66,4
293.44,300.96,4
301.77,303.03,3
314.47,315.96,3
317.27,317.96,4
318.4,319.23,3
320.44,321.19,4
321.94,324.16,4
327.07,329.89,4
331.77,332.36,4
334.3,334.99,3
335.57,337.52,4
