30.567,33.367,2
36.167,37.1,2
37.433,37.933,2
40.2,41.7,2
42.733,44,2
48.6,50.7,3
51.6,52.2,3
52.567,52.8,3
52.833,52.967,2
53,53.4,3
54.033,54.767,2
55.267,56.333,3
56.767,57.833,3
59.8,60.4,2
61.733,61.9,2
62.633,67.767,3
70.933,73.267,3
73.9,75.333,3
77.967,81.5,1
81.633,83.333,2
87.3,88.867,2
93.933,98.6,2
128.93,130.87,3
133.47,134.13,3
135.93,136.9,1
136.93,137.57,3
137.6,137.83,1
140.07,140.87,3
145.87,146.33,1
146.7,151.23,1
153.23,154.57,2
154.97,155.27,2
156.77,156.93,2
164.77,165.4,2
166,167.77,2
168.13,169.63,1
172.83,173.1,1
175.87,179.27,3
180,181,3
181.57,182.7,3
210.97,211.53,2
212.17,213.1,2
213.6,213.73,2
214.23,221.23,2
222.23,224.17,2
227.93,228.57,2
238.47,241.13,3
241.97,242.77,2
244,245.13,3
252.9,253.03,3
253.63,255.6,3
256.37,265.03,3
265.53,266,3
292.23,296.2,3
299,303.1,3
304.23,304.63,3
309.87,310.43,2
320.07,320.27,2
