#more(on2;_off1)_&_more(on1;_on2),yulab_data\7002\cevent_eye_roi_child.csv,,,yulab_data\7002\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
30,30.433,4,1,30.3,30.933,4,2
30.5,31.133,2,2,31,31.167,2,3
32.167,33.733,2,4,33.4,33.767,2,7
37.167,39.433,2,9,38.233,38.6,2,9
37.167,39.433,2,9,38.933,40.033,2,11
43.233,46.7,1,12,45.133,45.867,1,16
46.833,51.5,2,13,48.833,49.567,2,18
46.833,51.5,2,13,50.333,50.633,2,20
46.833,51.5,2,13,51.033,51.433,2,22
53.233,56.033,1,14,53.933,54.633,1,26
57.167,58.467,1,17,57.3,58.333,1,30
61.833,62.867,3,18,62.2,62.9,3,37
63.8,66.733,3,20,64.033,64.6,3,41
63.8,66.733,3,20,66.467,66.8,3,43
71.3,76.2,2,24,71.567,72.067,2,48
71.3,76.2,2,24,73.267,73.633,2,52
71.3,76.2,2,24,73.9,74.633,2,54
71.3,76.2,2,24,75.8,76.067,2,56
78.533,79.533,2,27,79.033,79.4,2,61
79.867,80.533,2,29,80,80.333,2,63
79.867,80.533,2,29,80.533,81.4,2,64
83.7,86.733,1,33,84.6,85.367,1,70
83.7,86.733,1,33,85.9,87,1,72
87.167,88.7,4,34,87.4,88.833,4,73
89.3,94.633,2,36,91.2,91.267,2,79
89.3,94.633,2,36,93.2,93.4,2,81
94.733,95.933,4,37,94.967,95.5,4,84
97.1,102.27,1,38,99.667,100.33,1,90
97.1,102.27,1,38,101.13,102,1,92
107.9,110.17,3,41,108.07,108.5,3,100
107.9,110.17,3,41,110.07,110.37,3,102
111.27,117.97,2,43,113.57,114.63,2,107
111.27,117.97,2,43,115.67,115.83,2,109
111.27,117.97,2,43,116.13,116.57,2,111
111.27,117.97,2,43,116.83,117.4,2,113
111.27,117.97,2,43,117.67,118.1,2,115
151,153,4,47,151,152.9,4,119
156.03,160.47,1,49,157.5,157.7,1,123
156.03,160.47,1,49,158.83,159.13,1,124
156.03,160.47,1,49,159.6,159.73,1,126
156.03,160.47,1,49,160.17,162.7,1,128
162,164.87,1,51,164.73,165.03,1,130
167.27,168.57,1,52,167.27,167.97,1,137
175.47,176.77,4,57,176.27,176.83,4,143
176.83,182.13,2,58,177.03,177.53,2,144
176.83,182.13,2,58,179.07,180.93,2,146
190.6,191.63,2,62,191.53,192.8,2,160
192.07,193.9,4,63,193.3,194.73,4,161
194,198.83,2,64,194.87,195.8,2,162
194,198.83,2,64,196.93,197.17,2,164
194,198.83,2,64,197.53,197.87,2,166
194,198.83,2,64,198.47,198.93,2,168
228.37,232.5,2,65,228.37,228.4,2,173
228.37,232.5,2,65,228.6,228.97,2,174
228.37,232.5,2,65,229.33,229.8,2,175
228.37,232.5,2,65,230.3,230.6,2,177
228.37,232.5,2,65,230.73,230.93,2,178
228.37,232.5,2,65,231.23,231.83,2,180
228.37,232.5,2,65,232.37,232.63,2,182
238.5,240.9,4,69,240.73,240.87,4,193
242.27,242.87,4,71,242.67,242.83,4,195
243.4,245.4,4,73,245.1,245.53,4,198
250,255.43,2,74,254.13,254.33,2,202
250,255.43,2,74,254.87,255.23,2,204
259.07,261.2,4,79,260.37,261.6,4,210
261.67,263.57,2,81,263.1,263.37,2,213
268.53,270.43,4,86,268.63,268.83,4,220
268.53,270.43,4,86,269.1,270.43,4,222
