#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1206\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30,52.633,17,1
52.733,53.367,25,2
53.667,62.5,17,3
62.567,65.367,24,4
67.233,67.833,8,7
68.233,68.533,2,8
68.967,92.567,17,9
93.2,95.7,17,11
95.867,99.733,25,12
100.23,102.27,3,13
102.37,104.8,25,14
104.87,106.37,3,15
106.43,106.83,24,16
106.9,107.33,13,17
107.67,108.47,2,18
108.8,109.3,3,19
109.37,109.8,16,20
110.33,111.03,16,22
111.13,113.83,3,23
114.1,114.7,17,24
115.3,115.53,1,25
115.6,121.4,17,26
121.47,121.83,25,27
123.1,123.47,2,28
123.53,123.83,18,29
125.5,125.9,1,30
125.97,127.4,12,31
128.03,128.5,12,32
128.97,129.87,6,33
129.93,131.13,12,34
131.17,131.97,6,35
132.03,132.4,25,36
132.47,133.7,6,37
133.77,134.07,12,38
134.17,135.23,6,39
135.57,135.87,12,40
135.93,136.3,6,41
136.8,137.73,12,42
137.8,138.27,6,43
138.33,139.43,12,44
139.5,139.87,25,45
139.93,140.8,12,46
140.87,141.17,25,47
143.27,145.6,12,49
145.7,145.97,9,50
146.33,147,7,51
147.07,147.6,4,52
147.67,148.97,18,53
149.03,149.27,14,54
149.33,150.03,18,55
150.8,151.23,18,57
151.3,151.67,14,58
152.77,154.1,18,59
154.17,159.97,10,60
160.03,162.83,18,61
163.4,170.6,10,62
170.67,170.9,17,63
171.23,171.57,1,64
171.63,171.97,18,65
172.23,173.17,10,66
173.23,173.67,17,67
174.23,174.63,13,68
174.7,174.93,1,69
175.27,175.6,12,70
175.67,177.47,13,71
177.5,179.5,10,72
179.5,183.4,13,73
183.47,184.27,17,74
184.33,187.27,10,75
187.33,187.7,17,76
187.87,188.23,12,77
188.3,188.57,24,78
188.63,192.87,7,79
192.93,193.23,10,80
193.3,194.27,12,81
194.3,195.1,7,82
195.17,195.47,17,83
195.53,195.9,16,84
197.07,197.7,7,85
197.8,198.17,17,86
198.53,199.13,7,87
199.2,199.5,18,88
200.33,200.67,18,89
200.97,205.73,8,90
205.83,206.2,25,91
206.27,206.5,7,92
206.57,207.6,25,93
208.37,209.9,21,94
210,210.87,12,95
210.93,211.33,8,96
211.43,211.67,3,97
214.17,214.47,7,98
214.7,215,25,99
215.1,215.33,7,100
215.37,220.57,21,101
220.63,221,17,102
221.47,221.97,21,103
222.03,222.4,17,104
222.47,223,16,105
224.03,224.67,9,106
224.97,225.8,7,107
225.87,226.2,2,108
226.3,226.77,7,109
226.83,227.1,3,110
227.6,228.43,9,111
228.53,229.13,16,112
229.2,229.63,7,113
230.7,231.03,16,114
231.23,232.23,8,115
232.67,247.6,10,116
247.67,248.77,16,117
248.83,249.17,25,118
249.27,249.6,14,119
250.3,250.57,9,120
250.63,250.97,3,121
251.03,251.27,7,122
251.6,254.57,22,123
254.6,255,19,124
255.03,257.67,22,125
258.3,260.33,10,126
260.4,260.87,13,127
261.57,261.9,7,128
267.37,275.9,10,131
276.67,277.27,17,132
277.87,305.07,17,133
307.97,308.93,9,134
310.17,312.03,25,135
312.87,322.6,17,137
322.77,324.07,25,138
