segment event:,cevent_speech_naming_local-id,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7005,5,50.373,53.373,1,0,0,0,0.733,NaN,NaN,NaN,1.0995,0,0,0,2
7005,6,54.479,57.479,1,0,0.24433,0.12233,0,NaN,0.733,0.367,NaN,0,1,1,0
7005,7,56.421,59.421,3,0,0,0.14467,0,NaN,NaN,0.217,NaN,0,0,2,0
7005,8,58.954,61.954,3,0,0,0.97367,0,NaN,NaN,2.921,NaN,0,0,1,0
7005,9,58.954,61.954,1,0,0,0.97367,0,NaN,NaN,2.921,NaN,0,0,1,0
7005,10,62.692,65.692,2,0,0,1,0,NaN,NaN,3,NaN,0,0,1,0
7005,11,66.625,69.625,2,0,0.475,0.425,0,NaN,1.425,1.275,NaN,0,1,1,0
7005,12,66.625,69.625,2,0,0.475,0.425,0,NaN,1.425,1.275,NaN,0,1,1,0
7005,13,85.71,88.71,3,0,0.36333,0.522,0.0033333,NaN,1.09,1.566,0.01,0,1,1,1
7005,14,88.111,91.111,1,0,0,0.14067,0.80367,NaN,NaN,0.422,2.411,0,0,1,1
7005,15,88.111,91.111,1,0,0,0.14067,0.80367,NaN,NaN,0.422,2.411,0,0,1,1
7005,16,91.507,94.507,1,0.14433,0.41333,0,0.031,0.433,0.62,NaN,0.093,1,2,0,1
7005,17,113.84,116.84,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,18,122.02,125.02,2,0,0.24,0,0.75,NaN,0.72,NaN,2.25,0,1,0,1
7005,19,123.76,126.76,2,0,0.37667,0,0.56667,NaN,1.13,NaN,0.85,0,1,0,2
7005,20,123.76,126.76,1,0,0.37667,0,0.56667,NaN,1.13,NaN,0.85,0,1,0,2
7005,21,129.2,132.2,1,0.55667,0.41,0,0,1.67,1.23,NaN,NaN,1,1,0,0
7005,22,131.62,134.62,1,0.52667,0.31,0,0,1.58,0.93,NaN,NaN,1,1,0,0
7005,23,131.62,134.62,2,0.52667,0.31,0,0,1.58,0.93,NaN,NaN,1,1,0,0
7005,24,131.62,134.62,2,0.52667,0.31,0,0,1.58,0.93,NaN,NaN,1,1,0,0
7005,25,131.62,134.62,3,0.52667,0.31,0,0,1.58,0.93,NaN,NaN,1,1,0,0
7005,26,131.62,134.62,3,0.52667,0.31,0,0,1.58,0.93,NaN,NaN,1,1,0,0
7005,27,151.97,154.97,2,0,0,0.94667,0,NaN,NaN,1.42,NaN,0,0,2,0
7005,28,151.97,154.97,2,0,0,0.94667,0,NaN,NaN,1.42,NaN,0,0,2,0
7005,29,151.97,154.97,2,0,0,0.94667,0,NaN,NaN,1.42,NaN,0,0,2,0
7005,30,168.25,171.25,1,0.18,0.086667,0,0.26667,0.54,0.26,NaN,0.8,1,1,0,1
7005,31,168.25,171.25,1,0.18,0.086667,0,0.26667,0.54,0.26,NaN,0.8,1,1,0,1
7005,32,199,202,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,33,199,202,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,34,199,202,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,35,199,202,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,36,205.52,208.52,3,0,0,0.54,0.38667,NaN,NaN,0.81,1.16,0,0,2,1
7005,37,208.44,211.44,2,0.31,0,0.14333,0.44667,0.93,NaN,0.43,1.34,1,0,1,1
7005,38,212.62,215.62,3,0,0,0.31667,0.64,NaN,NaN,0.95,1.92,0,0,1,1
7005,39,212.62,215.62,3,0,0,0.31667,0.64,NaN,NaN,0.95,1.92,0,0,1,1
7005,40,212.62,215.62,1,0,0,0.31667,0.64,NaN,NaN,0.95,1.92,0,0,1,1
7005,41,217.86,220.86,1,0.056667,0,0.35667,0.54333,0.17,NaN,1.07,1.63,1,0,1,1
7005,42,217.86,220.86,2,0.056667,0,0.35667,0.54333,0.17,NaN,1.07,1.63,1,0,1,1
7005,43,220.51,223.51,2,0.13667,0,0,0.13,0.41,NaN,NaN,0.39,1,0,0,1
7005,44,236.95,239.95,2,0,0.57333,0,0.34,NaN,1.72,NaN,1.02,0,1,0,1
7005,45,238.17,241.17,2,0,0.98,0,0,NaN,2.94,NaN,NaN,0,1,0,0
7005,46,239.87,242.87,2,0,1,0,0,NaN,3,NaN,NaN,0,1,0,0
7005,47,242.77,245.77,3,0,0.16667,0.65667,0,NaN,0.5,1.97,NaN,0,1,1,0
7005,48,245.24,248.24,3,0,0,0.55333,0,NaN,NaN,0.83,NaN,0,0,2,0
7005,49,247.09,250.09,3,0,0,0.18,0.096667,NaN,NaN,0.54,0.29,0,0,1,1
7005,50,248.88,251.88,1,0,0,0,0.31,NaN,NaN,NaN,0.93,0,0,0,1
7005,51,248.88,251.88,1,0,0,0,0.31,NaN,NaN,NaN,0.93,0,0,0,1
7005,52,251.85,254.85,2,0.19,0,0.24,0,0.57,NaN,0.36,NaN,1,0,2,0
7005,53,278.47,281.47,2,0,0.29,0.66667,0,NaN,0.87,2,NaN,0,1,1,0
7005,54,278.47,281.47,2,0,0.29,0.66667,0,NaN,0.87,2,NaN,0,1,1,0
7005,55,278.47,281.47,2,0,0.29,0.66667,0,NaN,0.87,2,NaN,0,1,1,0
7005,56,284.38,287.38,2,0,0.26667,0,0.61,NaN,0.8,NaN,0.61,0,1,0,3
7005,57,292.85,295.85,1,0.37333,0.43333,0,0,1.12,0.65,NaN,NaN,1,2,0,0
7005,58,295.52,298.52,1,1,0,0,0,3,NaN,NaN,NaN,1,0,0,0
7005,59,299.21,302.21,1,0,0,0,0.96333,NaN,NaN,NaN,2.89,0,0,0,1
7005,60,299.21,302.21,2,0,0,0,0.96333,NaN,NaN,NaN,2.89,0,0,0,1
7005,61,299.21,302.21,3,0,0,0,0.96333,NaN,NaN,NaN,2.89,0,0,0,1
7005,62,312,315,1,0,0.8,0.1,0,NaN,2.4,0.3,NaN,0,1,1,0
7005,63,319.51,322.51,2,0.29667,0.32333,0,0.20333,0.89,0.97,NaN,0.61,1,1,0,1
7005,64,319.51,322.51,2,0.29667,0.32333,0,0.20333,0.89,0.97,NaN,0.61,1,1,0,1
7005,65,323.19,326.19,1,0.23,0.44667,0,0,0.69,0.44667,NaN,NaN,1,3,0,0
7005,66,323.19,326.19,1,0.23,0.44667,0,0,0.69,0.44667,NaN,NaN,1,3,0,0
7005,67,323.19,326.19,1,0.23,0.44667,0,0,0.69,0.44667,NaN,NaN,1,3,0,0
7005,68,330.07,333.07,2,0.16667,0.55667,0,0,0.5,1.67,NaN,NaN,1,1,0,0
7005,69,336.81,339.81,2,0.036667,0,0.12333,0,0.11,NaN,0.37,NaN,1,0,1,0
7006,1,27.072,30.072,1,0,0,0,0.024,NaN,NaN,NaN,0.072,0,0,0,1
7006,2,29.981,32.981,1,0.14433,0,0.077667,0.638,0.433,NaN,0.233,0.957,1,0,1,2
7006,3,32.407,35.407,1,0.3,0,0,0.19767,0.9,NaN,NaN,0.593,1,0,0,1
7006,4,38.402,41.402,3,0,0,0.834,0.13267,NaN,NaN,2.502,0.398,0,0,1,1
7006,5,42.538,45.538,3,0.044333,0,0.58867,0.16833,0.133,NaN,1.766,0.505,1,0,1,1
7006,6,44.156,47.156,3,0.141,0,0.22567,0.51133,0.423,NaN,0.677,1.534,1,0,1,1
7006,7,47.927,50.927,2,0,0.78667,0.033333,0,NaN,0.59,0.05,NaN,0,4,2,0
7006,8,51.629,54.629,2,0,0,0.79033,0.16533,NaN,NaN,2.371,0.496,0,0,1,1
7006,9,57.885,60.885,1,0.122,0.24433,0.395,0.049333,0.366,0.24433,0.5925,0.148,1,3,2,1
7006,10,63.807,66.807,3,0,0,0.10233,0.631,NaN,NaN,0.307,0.9465,0,0,1,2
7006,11,80.011,83.011,1,0.585,0,0.21067,0,0.585,NaN,0.316,NaN,3,0,2,0
7006,12,90.448,93.448,1,0.44467,0,0.25567,0.15067,1.334,NaN,0.767,0.452,1,0,1,1
7006,13,102.1,105.1,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,14,104.25,107.25,1,0.2,0,0,0,0.2,NaN,NaN,NaN,3,0,0,0
7006,15,110.08,113.08,1,0,0,0,1,NaN,NaN,NaN,3,0,0,0,1
7006,16,111.14,114.14,1,0,0,0,1,NaN,NaN,NaN,3,0,0,0,1
7006,17,112.66,115.66,1,0.26333,0,0,0.67,0.395,NaN,NaN,2.01,2,0,0,1
7006,18,116.37,119.37,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,19,123.99,126.99,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,20,135.63,138.63,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,21,137.5,140.5,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,22,145.19,148.19,3,0,0,0,0.33667,NaN,NaN,NaN,1.01,0,0,0,1
7006,23,160.71,163.71,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
