#more(on2;_off1)_&_more(on1;_on2),yulab_data\7003\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30,30.533,2,1
31.3,32.167,2,3
32.633,34.6,4,4
36.767,36.933,4,6
37.233,37.867,4,8
38.267,39.2,4,10
40.3,40.633,3,12
41.1,41.333,4,14
42.433,44.867,4,16
44.933,45.4,2,17
46.3,46.467,1,19
46.567,46.7,3,20
46.867,47.333,4,21
47.433,48,3,22
48.267,48.567,4,23
48.733,49.133,3,24
49.3,50.367,4,25
50.767,51.2,4,27
51.333,51.7,3,28
51.933,52.5,4,29
52.933,53.467,4,31
55.9,56.167,4,32
56.267,56.7,3,33
56.8,56.933,1,34
58.9,59.333,4,37
59.433,60.167,3,38
60.267,60.767,4,39
60.867,61.533,1,40
61.867,62.133,4,41
62.467,62.867,1,43
62.967,63.2,4,44
63.3,63.5,1,45
64.133,64.3,1,47
64.4,65.3,4,48
65.633,65.967,3,50
66.067,66.733,4,51
67.2,68.567,4,53
69.233,69.5,4,54
69.6,70.1,1,55
70.3,70.567,4,56
71,71.5,4,58
71.633,72.467,3,59
72.6,74.567,4,60
74.667,74.867,3,61
75.667,76.133,3,63
76.333,76.433,4,64
77.933,78.067,4,66
78.8,79.067,4,68
79.633,79.9,4,70
80.333,80.5,4,72
81.067,81.3,1,74
81.533,81.833,4,75
82.233,82.867,4,77
83.733,83.9,4,79
85,85.467,2,80
86.6,86.7,4,81
86.833,87.367,4,82
88.767,88.967,4,84
89.8,90.433,1,86
91.067,91.567,3,87
91.667,92,4,88
92.067,92.3,3,89
92.333,93.067,1,90
93.267,93.667,4,91
93.9,94.133,4,92
126.83,127.9,4,93
128.3,128.63,4,95
129.23,130.27,4,97
132.8,133,2,99
133.07,133.23,4,100
133.97,134.13,4,102
134.77,135.07,4,104
136.83,137.43,4,106
138.1,138.5,4,108
138.9,139.1,3,110
139.17,139.67,1,111
139.87,140.43,2,112
140.67,140.77,1,113
141.07,141.63,1,115
141.67,142.13,4,116
143.8,144.13,4,118
