#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1203\cevent_eye_roi_child.csv,,,yulab_data\1203\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
105.2,111.13,21,25,112.03,114.7,21,31
126.03,127.5,12,31,127.5,127.8,12,42
164.57,169.67,22,50,170.17,171.73,22,67
189.93,194.2,21,59,194.93,195.87,21,78
194.57,195.8,25,60,196.37,196.87,25,79
218.3,218.67,12,75,219.43,220.63,12,94
244.23,245.87,11,87,246.2,248.97,11,110
290.13,291.1,8,109,291.83,292.97,8,133
298.8,300.13,24,111,300.83,301.1,24,140
359.87,365.8,4,140,365.8,366.53,4,184
370.13,372.17,11,145,373.07,373.93,11,189
376.57,381.3,11,147,381.8,384.27,11,195
386.33,388.27,25,150,388.53,389.3,25,197
401.53,402.6,25,154,402.6,408.1,25,202
439.37,441.3,11,172,441.83,442.93,11,230
442.53,442.77,25,173,443.3,444.23,25,231
468.7,470.13,23,182,470.7,472.03,23,246
472.77,473.23,11,186,473.3,476.53,11,248
539.13,540.1,7,204,540.53,542.17,7,284
548.43,551.73,7,209,551.9,552.47,7,289
599.13,599.6,3,225,600.33,601.03,3,322
599.67,600.97,19,226,601.1,601.5,19,323
613.63,613.87,19,232,614.13,615.73,19,334
629.17,629.5,11,239,630.5,630.9,11,352
635.07,636.77,15,241,637.7,638.1,15,359
