#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1208\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
30,34.533,21,1
39.333,39.633,25,2
39.9,45,21,3
45.067,47.033,17,4
47.333,48.067,21,5
49.4,51.6,21,6
71.867,72.2,21,10
72.867,74.133,21,11
79.3,79.7,5,12
79.733,81.233,18,13
83.3,84.233,13,14
84.333,84.933,11,15
86.133,87.333,21,16
87.7,87.967,13,17
88.367,89.033,6,18
89.7,90.2,23,19
91.5,91.733,23,20
91.8,92.967,7,21
96.933,97.9,6,23
98.033,98.6,20,24
98.667,99.2,1,25
99.433,101.13,23,26
101.6,101.87,17,27
102.3,108.77,24,28
108.83,109.07,1,29
109.33,109.57,24,30
109.7,110.03,1,31
110.3,110.6,23,32
111.03,112.83,21,33
113.77,114.6,24,34
115.13,117.93,10,35
118.23,118.83,24,36
123.33,124.5,23,37
125,125.77,24,38
125.83,126.23,6,39
126.57,127.1,24,40
127.17,129.47,23,41
130.47,138.57,15,42
138.73,138.97,24,43
139.03,139.27,3,44
139.53,139.93,23,45
140.07,143.97,15,46
144.87,145.3,15,47
145.43,145.7,3,48
149.4,150.07,23,49
150.67,151.23,1,50
154.4,156.53,3,51
156.63,157,6,52
157.07,157.37,3,53
158.37,158.9,3,54
159.23,159.6,20,55
160.17,170.3,20,56
171.1,171.63,3,57
172.2,172.73,3,58
173.07,181.5,20,59
182.03,182.33,15,60
183.53,184.4,24,62
184.47,185.73,20,63
186.3,186.6,6,64
186.87,187.67,1,65
187.73,188.23,20,66
188.33,188.7,7,67
189.27,189.73,15,68
189.83,190.1,5,69
190.27,190.83,20,70
190.87,191.67,2,71
192.07,192.67,20,72
198.03,198.43,15,73
198.7,198.97,2,74
199.27,200.13,17,75
200.2,200.5,2,76
201.63,202.27,1,77
202.53,203,6,78
203.27,212.77,20,79
217.13,217.47,16,80
217.5,218,18,81
218.03,218.63,5,82
218.77,219.3,15,83
219.4,220.03,7,84
220.1,220.33,15,85
220.4,220.83,1,86
221.5,222,17,87
222.1,222.33,15,88
222.4,222.67,23,89
228.6,229.07,6,91
238.3,238.73,23,93
254.2,258.83,20,95
260.17,260.47,3,96
260.67,264.2,20,97
264.87,269.13,5,98
269.5,270.3,20,99
271.83,272.57,20,100
272.8,273.07,11,101
273.6,273.87,10,102
273.97,274.73,3,103
274.8,275.57,20,104
275.73,276.33,3,105
276.9,277.13,2,106
277.77,283.1,8,107
284.6,285.03,2,108
285.8,286.77,2,109
287.3,290.1,9,110
290.47,290.8,8,111
291.73,292.4,9,112
292.93,294,9,113
295.73,296.43,8,115
296.77,300.47,11,116
300.93,301.57,16,118
301.63,302.77,11,119
303.07,309.03,18,120
309.8,310.03,14,121
310.1,310.37,5,122
310.77,311.33,10,123
311.43,311.67,20,124
311.8,312.17,4,125
312.43,312.9,8,126
312.97,313.23,3,127
313.27,315.33,20,128
315.93,317,20,129
317.07,317.4,4,130
317.47,328.63,20,131
328.7,329.37,3,132
329.83,330.1,4,133
330.57,335.43,20,134
337.63,338.53,19,135
339.97,345.7,19,136
345.77,347.77,17,137
347.77,350.37,19,138
350.57,351,17,139
351.63,352.03,19,140
352.57,353.7,20,141
356.17,357.6,20,143
357.93,358.8,19,144
359.67,361.63,20,145
362.33,364.27,10,146
365,365.5,19,147
365.8,382.17,10,148
382.23,382.7,20,149
382.8,383.23,14,150
383.5,386.37,20,151
386.43,389.43,17,152
389.57,390.53,8,153
390.6,391.43,17,154
392.2,395,10,155
395.07,398.6,17,156
398.77,399.63,11,157
399.7,401.97,17,158
403.63,404.93,17,161
405,405.73,8,162
405.8,406.1,17,163
406.17,406.93,8,164
406.97,407.47,17,165
407.5,408.57,8,166
412.73,413.47,18,168
413.57,413.97,14,169
414.03,419.53,5,170
419.73,420.6,8,171
420.67,422.27,9,172
422.33,422.57,19,173
422.63,423.67,9,174
424.77,425.87,9,175
425.9,426.73,8,176
426.8,427.43,9,177
427.7,428.63,5,178
428.73,430.57,8,179
430.73,432.03,20,180
432.13,432.67,15,181
432.97,434.07,10,182
439.63,442.73,10,184
442.8,445.8,11,185
445.87,448.93,17,186
449.9,452.8,10,187
453.53,453.9,20,188
453.93,463.4,10,189
463.77,464.07,20,190
465,466.1,10,191
467.87,468.33,3,193
468.4,470.07,20,194
470.5,470.77,17,195
471.83,473.07,17,196
473.23,474.33,20,197
474.4,474.9,15,198
474.97,475.27,7,199
475.77,478.4,16,200
480.3,481.13,11,201
481.17,481.9,4,202
481.93,482.97,7,203
487.9,488.6,4,205
488.67,488.93,16,206
489.13,491.1,12,207
491.13,491.5,7,208
491.53,492.1,16,209
492.17,492.67,15,210
492.7,493.3,1,211
493.87,494.27,17,212
494.33,496.03,20,213
496.17,497.27,3,214
497.33,502.13,20,215
502.7,503.73,13,216
503.8,505.97,8,217
506.23,509.47,19,218
509.77,510.7,25,219
512.2,513.27,20,220
514.37,515.07,20,221
