#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1205\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
63.6,64.633,11,1
66.2,66.433,14,3
67.733,69.6,23,4
70.833,71.3,20,5
71.6,72.867,19,6
73.433,73.8,19,7
73.967,74.9,8,8
75.033,75.267,2,9
75.6,77.9,8,10
77.967,79.4,19,11
79.767,80.8,8,12
80.9,84.6,19,13
84.733,86.1,9,14
87.833,94.667,17,15
95.533,96.9,17,16
101.47,114.47,17,17
115.47,115.83,25,18
116.1,117.9,17,19
118.53,128.73,17,20
128.97,129.37,8,21
129.43,130.23,19,22
130.33,130.7,20,23
130.97,133.3,12,24
133.37,134.37,8,25
134.4,135.53,19,26
135.6,136.3,8,27
136.37,136.67,19,28
136.73,137.27,8,29
137.8,138.13,22,30
138.23,138.73,8,31
138.77,140.53,12,32
140.6,140.93,17,33
141.37,142.63,23,34
142.67,144.67,17,35
144.67,145.9,23,36
146,147.03,8,37
147.1,147.83,22,38
148.23,148.63,6,39
148.67,150.83,23,40
150.87,151.13,8,41
151.47,153.63,24,42
153.7,154.83,22,43
155.6,156.17,17,44
156.23,156.57,8,45
156.6,157.23,6,46
157.5,158.2,25,47
158.97,159.87,24,49
161.1,167.1,23,50
167.2,168.23,22,51
171,171.37,17,53
171.43,172.17,23,54
173.5,173.8,12,55
173.9,174.27,1,56
178.27,178.73,23,58
178.8,183.4,15,59
183.47,184.03,11,60
184.1,184.33,15,61
184.4,185.87,11,62
185.97,186.6,23,63
187.27,189.1,13,64
189.2,189.77,23,65
189.83,190.07,15,66
190.3,191.53,23,67
191.63,191.87,22,68
192.17,192.83,15,69
195.53,196.07,17,72
196.27,198.07,20,73
198.17,199.17,17,74
199.2,199.6,8,75
201.07,201.97,20,76
202.03,202.4,11,77
202.47,203.1,17,78
204.23,206.23,10,79
208.23,213.6,17,81
213.63,215.63,22,82
215.63,217.63,8,83
217.63,218.37,24,84
218.5,219.07,2,85
219.97,220.5,22,86
220.73,221.33,8,87
224.27,230.67,22,88
235.47,235.73,22,89
237.57,238.9,22,90
240.9,241.2,22,91
242.63,247.23,23,93
247.57,248.53,19,94
248.6,249.03,13,95
249.07,249.57,2,96
249.63,249.87,24,97
249.9,250.23,5,98
250.3,250.63,11,99
250.77,251.07,9,100
251.13,254.47,15,101
254.5,255,23,102
255.03,256.07,19,103
261.13,262.23,1,104
262.27,263.77,15,105
263.8,265.1,1,106
265.27,265.5,21,107
265.57,266.8,15,108
267.07,267.57,25,109
267.83,272.3,15,110
274.43,277.03,1,112
277.07,280.07,15,113
280.13,283.27,1,114
283.47,283.87,17,115
283.93,285.77,2,116
286.13,287.1,23,117
287.17,288.3,2,118
288.37,289,22,119
291.73,291.93,2,120
291.97,293.7,17,121
293.77,294.07,2,122
294.13,294.87,17,123
294.93,296.27,24,124
298.67,300.23,24,126
300.73,302.07,25,127
302.93,304.87,23,128
306.1,306.67,2,129
306.7,307.03,23,130
307.1,308.8,11,131
308.87,312.8,23,132
317.6,318.33,24,134
318.4,318.77,22,135
319.37,321.6,22,136
321.93,323.93,6,137
324.23,326.97,22,138
327.07,333.33,17,139
333.37,334.9,24,140
336.5,337.97,2,141
338.03,339.13,6,142
339.27,340,25,143
340.4,341.57,2,144
342.13,342.57,8,145
342.63,343.83,17,146
344.2,345.17,23,147
345.4,346.83,22,148
348.3,348.8,17,149
349.63,357.6,21,150
357.77,358.57,23,151
358.63,358.97,2,152
359.13,359.57,21,153
359.63,360.5,22,154
360.53,362.67,21,155
363.73,364.13,3,156
365.57,366.33,3,157
367.37,367.83,16,158
368.07,368.97,18,159
374.7,379.6,21,161
379.83,380.2,18,162
380.27,382.73,2,163
384.17,384.73,23,164
384.8,385.73,2,165
385.93,386.37,23,166
386.43,387.63,11,167
387.7,396.57,22,168
396.73,406.9,2,169
407,409,17,170
409.4,409.97,25,171
410.8,412,17,172
413.37,413.63,23,173
413.67,414.3,22,174
416.97,418.97,21,176
419.23,422.27,23,177
422.33,424.97,21,178
