#more(on2;_off1)_&_more(on1;_on2),yulab_data\7002\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30,30.2,2,1
31.233,31.5,4,4
31.567,32.4,2,5
32.533,33.3,4,6
33.9,38.133,4,8
38.667,38.867,4,10
40.633,41.133,4,12
41.267,42.3,4,13
42.4,44.233,1,14
44.5,45,4,15
46,48.733,4,17
49.633,50.267,4,19
50.7,50.967,4,21
52,52.867,4,23
52.933,53.533,1,24
53.733,53.9,4,25
54.733,55.2,4,27
55.3,55.733,3,28
55.8,57.233,4,29
58.4,58.633,4,31
58.7,58.9,1,32
59.367,60.367,4,33
60.633,60.733,3,34
61.233,61.767,3,35
61.867,62.067,4,36
62.967,63.267,4,38
63.367,63.567,3,39
63.633,63.967,4,40
64.667,66.4,4,42
67.2,67.267,3,44
67.567,68.2,4,45
68.3,70.3,1,46
70.433,71.5,4,47
72.1,72.333,3,49
72.633,72.833,4,50
72.933,73.233,3,51
73.7,73.867,3,53
74.733,75.5,4,55
76.467,76.6,4,57
77,77.3,4,58
77.4,78.467,3,59
78.5,78.833,2,60
79.5,79.933,4,62
81.6,81.767,4,65
81.833,82.367,2,66
82.967,83.267,4,67
83.367,83.967,1,68
84.067,84.5,4,69
85.467,85.8,4,71
88.933,89.633,2,74
89.767,89.8,4,75
89.867,90.433,3,76
90.533,90.733,4,77
90.8,91.167,3,78
91.5,93.133,4,80
93.467,94.667,4,82
94.8,94.9,3,83
95.567,95.7,2,85
96.2,96.733,4,86
96.867,98.567,1,87
98.733,99.067,4,88
99.2,99.533,4,89
100.4,101.03,4,91
102.07,102.27,4,93
102.5,102.63,4,94
102.73,103.13,4,95
103.23,103.6,3,96
103.73,104.63,4,97
106.63,107.8,3,98
107.83,108,4,99
108.6,109.97,4,101
110.47,110.93,4,103
111.07,111.97,3,104
112.47,112.9,4,105
113.3,113.53,1,106
114.77,115.63,4,108
115.9,116.03,4,110
116.63,116.8,4,112
117.5,117.63,4,114
118.5,118.63,1,116
119.83,120.13,1,117
120.5,120.83,4,118
152.97,153.77,3,120
154.1,155.4,1,121
155.5,157.43,4,122
159.17,159.4,4,125
159.8,160.1,4,127
162.77,164.37,4,129
165.1,165.37,4,131
165.5,165.87,1,132
166,166.07,4,133
166.33,166.47,3,134
166.5,166.77,1,135
166.87,167.2,4,136
168.03,168.37,4,138
168.5,170.8,4,139
172.1,172.57,4,140
172.9,174.6,2,141
174.7,176.13,4,142
177.63,179,4,145
181.13,181.47,4,147
181.57,182.7,4,148
182.77,183.07,2,149
183.27,183.33,1,150
183.47,183.93,1,151
183.97,184.8,3,152
184.97,185.3,4,153
185.4,185.53,3,154
185.57,186,2,155
186.2,189.7,4,156
189.77,190.17,2,157
190.53,190.97,2,158
191.1,191.4,4,159
195.9,196.77,4,163
197.23,197.47,4,165
197.93,198.4,4,167
199.07,199.3,4,169
199.37,200.1,2,170
200.17,200.77,4,171
200.83,201.2,2,172
229.87,230.23,4,176
231.07,231.13,4,179
231.9,232.33,4,181
232.67,233,4,183
233.53,233.87,2,184
233.9,234.07,4,185
234.1,234.33,2,186
234.37,234.83,4,187
234.9,235.63,2,188
235.73,236.03,4,189
236.4,237.3,2,190
237.43,240.6,4,191
240.63,240.7,2,192
241.53,242.4,2,194
243.2,244.8,4,196
244.87,245,2,197
245.97,246.67,4,199
246.77,247.8,3,200
248.63,254,4,201
254.4,254.63,4,203
255.3,256.6,4,205
256.67,256.83,2,206
256.93,259.5,4,207
259.57,259.67,2,208
259.93,260.3,2,209
261.63,262,2,211
262.07,263,4,212
263.43,264.1,4,214
264.13,264.7,2,215
264.77,265,4,216
265.1,267.3,2,217
267.37,267.93,4,218
268.23,268.57,2,219
268.9,269.03,2,221
270.5,270.83,2,223
271.17,271.5,4,224
271.63,271.83,1,225
271.93,274.2,4,226
