#more(on2;_off1)_&_more(on1;_on2),yulab_data\7003\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
31.733,34.067,2,2
40.267,40.633,1,4
42,43.833,2,6
48.4,49.1,1,8
51.267,51.833,1,10
55.1,55.267,2,12
67.133,68.6,1,19
68.633,69.1,3,20
69.133,69.4,1,21
69.433,69.7,3,22
69.733,70.367,1,23
71,71.3,2,25
71.367,71.9,1,26
71.967,73.2,3,27
85.867,86.133,3,30
86.3,86.533,3,31
86.6,87,1,32
87.167,87.2,3,33
87.233,87.433,1,34
87.733,87.9,3,36
88.167,88.3,3,37
88.567,88.7,3,38
89.633,90.133,3,40
90.6,90.733,3,41
91,91.367,1,42
91.667,91.833,3,43
92.3,92.567,3,44
92.767,92.8,3,45
92.967,93.833,3,46
93.9,94.133,1,47
126.73,126.8,2,48
131.37,131.63,2,50
131.83,132.4,2,51
132.43,133.07,3,52
138.9,139.73,2,58
139.97,140.13,2,59
141.43,141.9,1,61
141.93,142,2,62
142.37,143.33,3,64
143.4,143.83,1,65
144.4,144.63,1,66
145.23,145.47,1,67
145.83,145.87,1,68
151.87,152.6,1,70
156.93,157.77,1,72
158.07,158.9,2,73
164.37,164.83,1,75
165.27,165.73,1,76
166.97,167.9,1,78
176.87,177.43,2,80
216.1,216.9,1,87
217.03,217.33,1,88
224.57,224.73,3,91
224.77,224.97,1,92
225.17,225.4,3,93
226.47,227.5,3,94
236.3,236.6,2,98
240.4,240.6,1,100
242.8,242.97,1,102
262.73,262.77,1,108
263,263.17,1,109
283.2,284.2,3,110
284.3,284.4,2,111
286.13,286.87,2,113
287.3,288.47,2,114
288.93,289.63,2,115
291.47,291.9,2,117
292.07,292.67,1,118
292.9,293.57,2,119
293.97,294.67,2,120
300.5,301.2,3,124
302.73,302.9,2,125
303.5,303.8,3,126
304.53,305.03,2,127
305.2,306.47,2,128
308.6,309.23,3,130
309.27,309.4,2,131
311.13,312.3,3,133
312.33,313.17,2,134
314.07,314.5,3,135
314.73,315.67,2,136
317.97,318.57,3,138
318.6,319.1,1,139
330.1,333,1,142
