#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1208\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30,31.633,21,1
31.7,32.267,18,2
32.567,34.033,21,3
34.1,37.7,25,4
38.567,39.9,25,5
39.967,41.833,21,6
44.067,47.033,21,7
47.1,47.333,25,8
47.567,50,21,9
50.267,51.133,25,10
51.233,52.467,21,11
52.567,54.833,25,12
54.9,55.567,21,13
55.967,56.267,25,14
56.333,57.067,21,15
57.133,57.367,25,16
57.433,58.6,21,17
62,64.2,25,19
64.333,64.6,21,20
64.667,64.967,25,21
65.033,65.6,21,22
65.667,66.467,25,23
66.9,68.967,25,25
69.067,69.967,21,26
70.067,71.2,25,27
72.067,73.467,25,29
73.567,73.967,21,30
74.067,74.3,19,31
74.367,80.1,25,32
82.267,82.967,25,33
83.067,83.433,17,34
83.467,83.8,23,35
84.4,84.633,25,36
87.2,87.6,21,37
87.933,88.167,17,38
88.233,88.933,23,39
89.733,89.967,16,40
90.067,90.633,23,41
90.967,91.967,1,42
92.367,93,7,43
93.1,96,1,44
96.1,96.867,7,45
97.667,98.367,2,47
98.433,102.23,24,48
102.33,103.4,25,49
103.47,104.87,24,50
105.4,105.8,13,51
105.87,107.03,24,52
107.53,110.67,25,53
112.43,112.7,18,54
112.77,113.67,21,55
114.2,114.83,24,56
115,116.07,25,57
116.13,116.97,21,58
117.53,118.03,25,59
118.73,118.97,17,60
119.03,120.67,23,61
121.93,122.27,25,62
122.37,124.93,23,63
125,125.23,24,64
126.3,127.83,23,65
129.47,129.73,24,66
129.8,132.97,15,67
133.07,133.33,25,68
133.43,134.63,15,69
134.73,135.03,25,70
135.1,138.2,15,71
138.3,139.83,25,72
139.97,142.73,15,73
142.83,143.43,25,74
144.27,144.63,25,75
144.87,145.3,7,76
146.27,148.57,25,77
149.1,150.1,25,78
150.77,152.63,25,79
153.13,156.33,3,80
156.4,157.43,25,81
157.73,158.03,17,82
158.5,165.77,20,83
165.83,166.1,25,84
166.17,166.6,20,85
166.67,166.9,25,86
166.97,168.53,20,87
168.63,173.77,25,88
174.33,174.93,25,89
175.03,176.13,20,90
176.2,178.27,25,91
178.37,178.8,3,92
179.1,179.53,25,93
180.37,180.63,20,94
180.73,182.87,25,95
182.93,183.4,24,96
183.47,183.77,25,97
