#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1205\cevent_eye_roi_child.csv,,,yulab_data\1205\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
64.7,65.733,3,2,66.333,67.567,3,2
158.47,158.93,2,48,159.1,160.23,2,50
168.3,170.77,23,52,171.7,172.03,23,55
174.37,177.23,12,57,177.47,177.7,12,59
192.93,194.07,2,70,194.9,195.17,2,74
194.17,195.47,19,71,195.63,196.4,19,75
206.23,207.23,11,80,208.2,208.43,11,87
241.57,241.9,23,92,242.8,247.93,23,115
273,274.33,23,111,274.37,275.27,23,136
297.33,298.63,2,125,299.63,300.3,2,156
312.87,317.33,19,133,318.33,319.07,19,169
372.77,374.1,25,160,374.23,375,25,201
414.37,416.8,23,175,417.03,419.03,23,239
