#more(on2;_off1)_&_more(on1;_on2),yulab_data\7006\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
30,30.8,4,1
30.9,31.133,3,2
31.167,31.6,1,3
37.267,37.633,2,7
42.6,42.733,1,10
45.033,46.567,4,12
46.733,47.6,1,13
48,48.033,3,14
48.067,48.1,2,15
48.133,48.2,3,16
48.233,48.4,2,17
48.467,48.733,2,18
51.4,54,3,20
57.067,57.2,4,22
57.233,57.7,2,23
57.833,58.033,4,24
58.1,58.5,2,25
58.567,58.933,1,26
59,59.533,3,27
59.567,59.733,2,28
60.033,60.2,2,29
65.033,66.433,4,32
66.5,66.9,3,33
73.133,73.3,3,37
73.667,73.833,1,38
74.1,74.167,1,39
74.267,74.5,4,40
74.567,74.733,3,41
80.867,81.333,3,43
81.367,81.433,1,44
81.467,81.633,3,45
91,91.767,3,49
105.17,105.2,1,52
105.47,105.5,1,53
114.73,115.03,1,57
115.17,115.97,1,58
121.97,123.6,4,59
141.37,141.97,1,60
142.3,143.33,4,61
143.37,143.87,1,62
170.8,172.93,4,67
