segment event:,cevent_inhand_child,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7005,2,47.867,95.033,1,0.060064,0.30318,0.28196,0.13991,1.4165,1.1,1.8999,1.3198,2,13,7,5
7005,3,49,57.967,1,0.1413,0.15234,0.040928,0.24523,1.267,0.683,0.367,1.0995,1,2,1,2
7005,4,63.667,96.4,3,0.031558,0.40534,0.25351,0.13442,0.5165,1.2062,1.383,1.4667,2,11,6,3
7005,5,116.2,116.43,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,6,116.2,128.1,2,0.086555,0.094958,0.053782,0.57983,1.03,1.13,0.32,2.3,1,1,2,3
7005,7,117.87,125.87,2,0.12875,0.14125,0.08,0.51625,1.03,1.13,0.32,1.3767,1,1,2,3
7005,8,131.83,134.23,1,0.57083,0.2625,0,0,1.37,0.63,NaN,NaN,1,1,0,0
7005,9,134.8,136.43,1,0.6319,0.22086,0,0,1.03,0.36,NaN,NaN,1,1,0,0
7005,10,135.2,136.87,1,0.55689,0.21557,0,0,0.465,0.36,NaN,NaN,2,1,0,0
7005,11,139.27,142.6,1,0.39039,0.12913,0,0.36937,1.3,0.43,NaN,1.23,1,1,0,1
7005,12,144.6,144.77,1,0,1,0,0,NaN,0.17,NaN,NaN,0,1,0,0
7005,13,144.97,145.6,1,0,0,0.84127,0,NaN,NaN,0.53,NaN,0,0,1,0
7005,14,146.7,150.43,3,0.042895,0,0.15013,0,0.16,NaN,0.28,NaN,1,0,2,0
7005,15,146.77,151.13,3,0.036697,0,0.27294,0,0.16,NaN,0.595,NaN,1,0,2,0
7005,16,152.2,171.47,3,0.093928,0.35236,0.16814,0.11936,0.60333,1.6975,1.62,1.15,3,4,2,2
7005,17,160.9,181.27,2,0.37506,0.23515,0.066765,0.039273,1.91,1.5967,1.36,0.8,4,3,1,1
7005,18,171.63,171.9,3,0.88889,0,0,0,0.24,NaN,NaN,NaN,1,0,0,0
7005,19,172.03,181.13,1,0.71758,0,0.14945,0,3.265,NaN,1.36,NaN,2,0,1,0
7005,20,202,204.67,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7005,21,202.1,220.4,1,0.060109,0,0.29891,0.37158,0.55,NaN,1.3675,1.7,2,0,4,4
7005,22,205.5,208.83,3,0,0,0.57958,0.34835,NaN,NaN,0.965,1.16,0,0,2,1
7005,23,209.13,211.93,1,0.32143,0,0,0.56071,0.9,NaN,NaN,1.57,1,0,0,1
7005,24,212.67,217.1,3,0,0,0.29345,0.65463,NaN,NaN,0.65,2.9,0,0,2,1
7005,25,224.27,232.43,2,0.21324,0.21324,0,0.37132,1.74,0.87,NaN,3.03,1,2,0,1
7005,26,224.33,226.07,2,0.08046,0.82759,0,0,0.14,1.44,NaN,NaN,1,1,0,0
7005,27,240.23,240.43,2,0,1,0,0,NaN,0.2,NaN,NaN,0,1,0,0
7005,28,241.63,243.87,3,0,0.73214,0.25446,0,NaN,1.64,0.57,NaN,0,1,1,0
7005,29,242.5,243.17,1,0,1,0,0,NaN,0.67,NaN,NaN,0,1,0,0
7005,30,244.87,248.7,3,0,0,0.53003,0,NaN,NaN,1.015,NaN,0,0,2,0
7005,31,247.6,248.4,1,0,0,0.0375,0,NaN,NaN,0.03,NaN,0,0,1,0
