#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1203\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
540.03,540.5,12,283
542.8,543.5,7,285
543.6,543.87,25,286
543.97,550.9,7,287
551,551.8,25,288
553.33,554,25,290
554.2,554.5,7,291
555.1,558.63,7,292
559.27,560.57,7,293
560.83,562.97,25,294
564.13,565.67,7,295
565.73,566.8,1,296
567.33,569.07,5,297
569.27,569.73,25,298
570.03,570.6,4,299
570.67,571.03,13,300
571.07,573.53,8,301
573.53,574.57,4,302
574.8,575.1,25,303
575.57,576.57,13,304
577.3,577.67,14,305
577.93,578.23,3,306
578.43,578.7,25,307
578.77,579.7,3,308
579.83,581.77,25,309
582.6,585.43,3,310
585.63,587.13,25,311
588.23,588.67,3,312
588.83,589.07,25,313
589.47,589.73,10,314
590.57,591.67,13,315
591.8,594.73,3,316
595.27,595.53,20,317
596.8,597.1,11,318
597.7,598.9,19,319
599.1,599.9,3,320
600,600.23,25,321
601.83,602.87,25,324
602.93,603.9,3,325
604.13,604.67,25,326
604.77,605.1,3,327
605.17,605.43,13,328
605.77,607.3,25,329
607.37,609.57,19,330
610.6,610.83,4,331
610.97,611.2,25,332
611.4,613.43,19,333
616.03,616.73,25,335
616.83,617.07,3,336
617.17,617.53,19,337
617.6,617.83,16,338
618.07,618.3,11,339
618.37,618.63,13,340
618.7,618.97,11,341
619.13,622.27,9,342
622.33,622.9,25,343
622.97,623.33,9,344
623.4,624.3,25,345
624.63,625,12,346
625.87,626.3,25,347
626.97,627.4,25,348
628.83,629.13,25,349
629.33,629.97,11,350
630.07,630.43,25,351
631.03,631.67,25,353
631.93,633.57,15,354
633.67,634.07,6,355
634.13,634.5,3,356
634.6,637.13,15,357
637.2,637.67,9,358
638.37,638.67,25,360
638.77,639.13,11,361
639.17,639.5,2,362
639.67,640.63,25,363
641.53,644.33,25,364
644.73,645.13,11,365
645.93,646.27,25,366
646.83,647.6,25,367
647.73,653.6,11,368
653.67,653.93,25,369
654.53,655.17,25,370
655.23,655.67,11,371
655.73,657.23,25,372
657.33,657.8,12,373
657.83,658.8,1,374
660.47,660.97,18,375
