#more(on2;_off1)_&_more(on1;_on2),yulab_data\7003\cevent_eye_roi_child.csv,,,yulab_data\7003\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
30,31.633,4,1,30.633,31.2,4,2
34.333,40.067,2,3,36.6,36.733,2,5
34.333,40.067,2,3,37,37.133,2,7
34.333,40.067,2,3,37.967,38.167,2,9
34.333,40.067,2,3,39.333,40.167,2,11
40.833,41.633,2,5,40.867,41.033,2,13
40.833,41.633,2,5,41.567,42.3,2,15
44.167,46.833,4,7,45.533,46.067,4,18
49.367,50.9,2,9,50.433,50.667,2,26
51.933,54.633,3,11,52.633,52.867,3,30
56.8,57.433,4,13,57.067,57.9,4,35
57.567,59.233,3,14,58,58.8,3,36
60.067,63.333,3,15,62.2,62.367,3,42
63.533,64.333,4,16,63.6,63.8,4,46
64.4,66.233,1,17,65.433,65.567,1,49
66.333,67.067,3,18,66.833,67.1,3,52
70.4,70.8,3,24,70.7,70.867,3,57
73.667,75.367,4,28,74.967,75.6,4,62
75.8,85.067,3,29,76.5,77.767,3,65
75.8,85.067,3,29,78.367,78.633,3,67
75.8,85.067,3,29,79.4,79.533,3,69
75.8,85.067,3,29,79.967,80.2,3,71
75.8,85.067,3,29,80.567,81.033,3,73
75.8,85.067,3,29,81.9,82.133,3,76
75.8,85.067,3,29,83.267,83.6,3,78
87.467,87.533,3,35,87.467,88.467,3,83
88.833,89.367,3,39,89,89.733,3,85
127.1,131.17,2,49,127.97,128.23,2,94
127.1,131.17,2,49,128.7,129.13,2,96
127.1,131.17,2,49,130.4,131.23,2,98
133.23,133.93,2,53,133.43,133.9,2,101
134.07,134.83,2,54,134.23,134.67,2,103
135,135.4,2,55,135.3,136.6,2,105
137.53,138.2,2,56,137.53,138,2,107
138.43,138.77,2,57,138.63,138.7,2,109
140.77,141.33,3,60,140.83,141,3,114
142.03,142.2,1,63,142.17,143.5,1,117
146.2,151.4,1,69,147.1,147.6,1,123
146.2,151.4,1,69,148.2,148.43,1,125
146.2,151.4,1,69,149.2,150.03,1,127
146.2,151.4,1,69,150.87,151.2,1,129
154.17,156.77,1,71,155.2,155.77,1,135
154.17,156.77,1,71,156.5,156.73,1,137
159.23,163.7,3,74,160.17,160.4,3,144
159.23,163.7,3,74,161.17,161.9,3,146
159.23,163.7,3,74,162.63,163.4,3,148
166.03,166.6,3,77,166.53,167.27,3,157
167.97,176.33,3,79,168.4,168.87,3,161
167.97,176.33,3,79,169.47,170.13,3,163
167.97,176.33,3,79,170.53,171.4,3,165
167.97,176.33,3,79,171.83,173.37,3,167
167.97,176.33,3,79,173.93,174.53,3,169
167.97,176.33,3,79,174.97,175.23,3,171
177.63,179.23,1,81,177.9,178.53,1,177
179.43,181.83,1,82,180.2,180.43,1,180
179.43,181.83,1,82,181.07,181.4,1,182
199.5,207.83,1,83,199.6,199.67,1,183
199.5,207.83,1,83,201.27,201.93,1,185
199.5,207.83,1,83,202.53,202.87,1,187
199.5,207.83,1,83,203.5,203.7,1,189
199.5,207.83,1,83,204.17,204.27,1,191
199.5,207.83,1,83,204.93,205.27,1,193
199.5,207.83,1,83,207.2,208.4,1,196
208.2,208.6,1,84,208.57,210.13,1,197
208.97,213.57,1,85,210.57,210.9,1,199
208.97,213.57,1,85,211.37,211.8,1,201
213.63,216.07,3,86,214.43,215.23,3,207
213.63,216.07,3,86,215.77,216,3,209
217.6,220.4,1,89,218.73,218.87,1,216
217.6,220.4,1,89,220.17,220.33,1,220
220.67,224.37,3,90,221.23,221.4,3,223
220.67,224.37,3,90,222.37,222.6,3,225
220.67,224.37,3,90,223.07,223.53,3,227
228,230.63,2,95,228.3,228.67,2,235
228,230.63,2,95,229.93,230.17,2,237
230.83,232.23,2,96,232.13,232.53,2,239
232.6,235.23,2,97,233.33,233.67,2,241
232.6,235.23,2,97,234.47,235.23,2,243
237.03,240,2,99,237.4,238.03,2,247
237.03,240,2,99,238.53,239.3,2,249
240.83,242.73,2,101,241.33,241.5,2,253
243.07,247.1,2,103,244.07,244.27,2,256
243.07,247.1,2,103,246.3,246.43,2,261
247.4,249.2,2,104,247.77,248.33,2,263
249.57,254.2,1,105,250.4,250.7,1,268
249.57,254.2,1,105,252.97,253.83,1,273
254.57,255.07,3,106,254.57,254.67,3,275
255.27,262.5,1,107,255.6,256.13,1,278
255.27,262.5,1,107,257.63,258.03,1,281
255.27,262.5,1,107,258.57,258.87,1,283
255.27,262.5,1,107,259.9,260.4,1,286
284.73,285.6,2,112,285.47,286.33,2,293
289.83,291.23,2,116,290.13,290.47,2,295
289.83,291.23,2,116,290.93,292.8,2,297
294.77,296.4,3,121,296.1,296.57,3,302
296.47,298.67,2,122,296.63,297.47,2,303
296.47,298.67,2,122,298.07,298.23,2,305
298.9,300.43,2,123,299.07,300.47,2,307
306.7,308.43,4,129,307.1,307.63,4,316
306.7,308.43,4,129,308.1,309.07,4,318
