#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1206\cevent_eye_roi_child.csv,,,yulab_data\1206\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
58.767,64.933,17,8,65.467,66.367,17,5
65.233,65.933,24,9,66.433,67.033,24,6
81.367,92.433,3,15,92.9,93.133,3,10
105.27,109.27,3,20,109.9,110.27,3,21
136.27,141,12,36,141.6,142.5,12,48
148.03,149.3,17,39,150.1,150.73,17,56
260.67,261.23,10,66,262.13,264.57,10,129
263.8,264.3,9,68,264.57,267.23,9,130
309.03,311.6,14,76,312.07,312.73,14,136
323.9,324.43,17,85,324.43,324.43,17,139
