#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1205\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
63.6,65.7,3,1
70.333,71.867,20,3
72.3,72.667,24,4
72.733,73.2,15,5
73.8,76.767,8,6
76.9,78.667,25,7
78.967,79.933,23,8
83.667,84.667,9,9
84.733,85.167,11,10
85.267,85.867,9,11
86.133,86.467,6,12
86.7,94.9,17,13
95,95.7,25,14
95.767,97.833,17,15
97.9,98.467,25,16
98.5,100.33,17,17
100.4,100.8,25,18
100.9,103.67,17,19
103.7,104.13,25,20
104.2,108.37,17,21
108.47,108.93,25,22
109,111.73,17,23
111.8,112.13,25,24
112.23,112.5,19,25
112.7,126.4,17,26
127.2,127.5,2,27
127.6,128.17,13,28
128.2,133.33,12,29
133.43,134.23,25,30
134.5,135.87,12,31
136.17,136.4,22,32
136.73,136.97,20,33
138.27,139.03,12,34
139.1,139.4,19,35
139.47,140.6,23,36
140.67,141.9,3,37
141.97,143.23,23,38
143.63,143.9,17,39
143.97,146.07,8,40
146.67,147.3,22,41
148.03,148.47,21,42
148.57,148.93,6,43
149.87,150.5,24,44
150.6,150.93,2,45
151,154.2,24,46
154.43,155.73,25,47
155.83,156.33,24,48
156.6,158.67,25,49
160.67,160.93,14,51
162,162.3,20,52
162.37,169.77,23,53
170.9,171.43,15,54
172.1,172.4,11,56
172.47,175.17,15,57
175.3,177.07,25,58
178.2,178.5,3,60
179.1,180.53,15,61
180.63,181.43,25,62
181.57,182.5,15,63
182.77,183.63,2,64
183.73,184.47,23,65
184.87,185.4,10,66
185.43,186.2,13,67
186.27,186.67,23,68
186.73,188.9,13,69
189.13,191.2,3,70
191.27,192.37,13,71
192.67,192.9,15,72
193.1,194.47,19,73
196.77,197.1,24,76
197.2,197.53,5,77
198.8,199.07,7,78
199.33,199.57,12,79
199.87,200.17,11,80
201.03,202.8,10,81
203.73,205.57,18,82
205.9,206.13,13,83
206.2,206.47,20,84
206.53,206.93,23,85
206.97,207.37,20,86
208.47,209,19,88
209.07,209.4,12,89
209.77,210.63,17,90
210.87,211.73,23,91
211.83,212.07,22,92
212.17,212.47,7,93
212.73,213.57,17,94
214.4,214.8,22,95
216,216.27,24,96
216.4,217.07,8,97
217.17,217.43,2,98
217.5,218.83,24,99
218.87,219.27,8,100
219.33,223.53,25,101
224.9,225.23,1,102
225.7,225.93,15,103
226.03,228,5,104
228.1,229.83,9,105
230,230.33,2,106
231.17,233.17,25,107
233.17,235.63,22,108
235.67,236.97,17,109
237.03,238,22,110
238.07,240.07,5,111
240.07,241.6,23,112
242.07,242.3,10,113
242.37,242.73,6,114
247.93,250,22,116
250.23,250.47,8,117
250.53,250.93,22,118
251.2,251.43,25,119
251.53,251.77,22,120
251.93,252.4,2,121
253,253.37,20,122
