32.377,33.25,945
45.272,46.041,945
55.216,56.303,1362
64.414,65.368,1362
66.344,67.297,1362
79.475,80.332,945
81.597,82.491,1362
87.445,89.855,2713
116.82,118.22,716
127.92,128.96,1294
136.52,137.89,716
139.52,140.31,716
142.62,143.33,716
146.53,147.47,716
158.05,159.12,716
160.06,161.71,716
165.65,166.5,716
189.3,189.48,1362
192.99,193.94,1362
199.81,201.29,945
202.8,204.33,945
206.11,206.72,1362
208.14,210.33,1362
212.23,212.99,1362
220.7,221.05,945
223.76,224.8,2713
227.39,227.81,2713
232.16,233.39,2713
238.67,239.59,2713
241.02,241.86,2713
271.63,273.05,716
289.21,289.9,1294
298.58,298.9,716
301.19,303.43,1078
310.72,312.06,1078
312.62,313.25,1078
